gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,low_attendance,low_cgpa,high_failures,low_study_hours,cgpa_attendance_interaction,study_cgpa_ratio,assignment_completion_rate,academic_performance_score,engagement_score,risk_score,cgpa_squared,attendance_squared,income_bracket,age_group
3,0,0,0,0,24.0,6.510641612,79.0921811,64197,3.0,5.3,30,1,1,0,0,0,0,1,514.9408454535,0.801737609005932,0.6,72.09929861,0.2,1,42.38845419990596,6255.573111155198,0,0
0,2,1,4,1,26.0,4.481530134,67.61597451,24868,2.0,15.5,16,1,8,0,1,1,0,0,303.02302730634085,3.3831491983372386,0.32,56.215637924999996,2.6,6,20.084112341950057,4571.92000893697,1,1
3,7,0,3,0,24.0,6.708242038,68.03706857,45804,3.0,5.3,4,4,0,1,1,0,0,1,456.4091235235625,0.7784682110915282,0.08,67.559744475,1.0,4,45.00051124039039,4629.042699598882,2,0
3,2,0,0,1,21.0,5.807134957,75.06847704,61260,2.0,6.0,19,0,7,0,0,0,0,1,435.9327771877359,1.0157208263694661,0.38,66.569913305,2.4,1,33.72281640881139,5635.276245105008,0,3
1,7,0,4,1,17.0,6.455322923,65.5870359,56338,6.0,16.4,28,0,8,0,1,0,1,0,423.38549629689396,2.5017836943560745,0.56,65.070132565,2.6,5,41.67119404020926,4301.659278147889,0,2
1,0,0,4,0,23.0,5.1300157,76.6741304,40251,3.0,9.2,4,4,3,0,0,0,0,1,393.3394927358473,1.7590769373789832,0.08,63.987143700000004,0.6,1,26.317061082246493,5878.922272596204,2,0
1,3,0,4,0,21.0,6.475385329,92.8824964,85451,5.0,7.8,8,1,9,0,0,0,1,1,601.4499545094552,1.1862422671412083,0.16,78.81817484499999,1.8,3,41.930615159028434,8627.158137496011,3,3
3,3,1,1,0,22.0,4.57283182,95.77392785,73686,6.0,23.2,14,2,6,1,0,1,1,0,437.95806479886426,4.964869461105493,0.28,70.751123025,2.2,5,20.910790854004514,9172.645255817008,0,0
3,6,0,3,0,21.0,6.661218348,68.67444282,51300,2.0,21.1,21,0,3,1,1,0,0,0,457.45545855126085,3.1207393274381503,0.42,67.64331315,1.6,3,44.371829879731855,4716.179096637449,0,3
0,6,0,3,0,21.0,4.126194345,67.87725388,74766,4.0,11.4,59,1,3,1,1,1,1,0,280.0747411137853,2.697462319376607,1.18,54.569598665,1.6,8,17.02547977270998,4607.321594289975,0,3
1,6,1,3,0,26.0,5.519937661,86.77561042,30169,5.0,24.7,12,2,7,0,0,0,1,0,478.9959600136221,4.395066545205225,0.24,70.98749351500001,1.4,2,30.469711781326154,7530.0065637636135,2,1
1,7,0,0,0,19.0,6.89301167,61.24438793,58251,6.0,9.1,55,2,5,0,1,0,1,1,422.15828072349717,1.301299129678129,1.1,65.087252315,1.0,6,47.513609882756185,3750.87505292033,0,3
1,2,0,4,0,21.0,5.449803838,66.08958699,40690,6.0,9.5,20,2,8,0,1,0,1,1,360.1752848299369,1.7117722134524207,0.4,60.293812685000006,1.6,6,29.700361872679533,4367.833508508777,2,3
2,1,0,3,0,23.0,6.627721984,65.86759826,54887,5.0,15.1,8,1,6,0,1,0,1,0,436.5521290210821,2.2444447074226783,0.16,66.07240905,1.2,5,43.9266986971969,4338.540500540755,0,0
1,3,0,2,0,23.0,5.986076378,70.42912972,43709,5.0,19.9,49,0,5,0,0,0,1,0,421.5941497399898,3.2697585051569,0.98,65.14494675,1.0,2,35.8331104032496,4960.262313116588,2,0
2,4,0,1,0,23.0,5.202968611,68.54600898,18622,4.0,7.2,41,1,7,1,1,0,1,1,356.64273313226414,1.3577300806693386,0.82,60.287847545,2.4,6,27.070882367051272,4698.5553470862405,1,0
2,6,1,4,0,17.0,4.278439187,85.26888893,37196,3.0,10.6,4,0,4,0,0,1,0,0,364.81775583006254,2.420954031169921,0.08,64.0266404,0.8,3,18.30504187685722,7270.783419356677,2,2
2,5,0,4,1,26.0,6.514953048,57.74195207,60778,5.0,11.9,30,4,7,1,1,0,1,0,376.1861066359164,1.7989545675759422,0.6,61.445741275,3.4,5,42.44461321764449,3334.1330288541776,0,1
1,2,0,1,0,23.0,5.622436844,68.69067393,-16029,6.0,14.4,15,0,5,1,1,0,1,0,386.2089759432223,2.51641047206986,0.3,62.457521185000004,2.0,5,31.611796064768683,4718.408684957582,4,0
3,1,0,4,0,23.0,4.37398847,60.54405386,76612,2.0,9.3,4,2,4,0,1,1,0,1,264.818993510699,2.0786821562819098,0.08,52.14196928,0.8,7,19.131775135692937,3665.582457802581,3,0
1,0,1,4,0,17.0,6.210098087,90.82730369,40583,3.0,8.0,34,2,5,1,0,0,0,1,564.046464892637,1.267809135404966,0.68,76.46414228,2.0,1,38.56531825016106,8249.599095595486,2,2
3,6,0,4,1,21.0,5.376263386,72.39002071,55452,3.0,14.8,38,2,0,0,0,0,0,0,389.1878178549547,2.702572713693067,0.76,63.076327285,1.0,0,28.90420799564418,5240.315098394229,0,3
2,1,0,3,0,17.0,4.567097545,72.08232356,55493,3.0,7.9,32,4,4,1,0,1,0,1,329.2070029687717,1.6927008539736876,0.64,58.876649505,1.8,4,20.858379985545028,5195.861369808532,0,2
0,5,0,4,0,22.0,6.920039429,100.0,-10411,2.0,8.1,17,4,0,1,0,0,0,1,692.0039429,1.1538396731133231,0.34,84.60019714500001,1.0,1,47.886945698914644,10000.0,4,0
3,7,0,2,0,21.0,6.684026181,85.48842833,15918,2.0,7.6,34,3,6,0,0,0,0,1,571.4068931302621,1.1202786954574697,0.68,76.16434507,1.2,1,44.67620598829345,7308.271378333548,1,3
1,7,0,3,1,23.0,6.790012124,86.96689707,54987,5.0,6.2,20,0,5,0,0,0,1,1,590.5062854919602,0.8998532786906893,0.4,77.433509155,2.0,3,46.104264644066994,7563.241185983975,0,0
2,1,0,0,0,25.0,4.171005728,83.89966416,59444,4.0,12.8,14,4,8,0,0,1,1,0,349.9459797886363,2.996952197016581,0.28,62.80486072,1.6,5,17.397288783008808,7039.153646160788,0,0
1,5,1,1,0,26.0,4.945652392,65.55490433,25849,2.0,20.1,26,4,2,1,1,1,0,0,324.2117694069957,3.9836275744775884,0.52,57.505714125,1.4,6,24.459477582495325,4297.445481715453,2,1
0,4,0,1,1,18.0,4.761247286,72.38083077,36723,2.0,18.5,26,0,2,1,0,1,0,0,344.62303406208775,3.8056076787697077,0.52,59.996651815,2.4,3,22.669475718442364,5238.9846629553795,2,2
2,3,0,4,1,21.0,5.466104638,88.86746082,24968,2.0,7.3,1,4,2,1,0,0,0,1,485.7588397554853,1.3115096597650417,0.02,71.7642536,2.4,1,29.87829991356511,7897.425592594236,1,3
2,4,0,2,1,24.0,6.028956535,90.23785716,56945,3.0,10.4,10,4,9,1,0,0,0,0,544.0401186291786,1.696863069693804,0.2,75.263711255,3.8,0,36.3483169009192,8142.870864828564,0,0
3,0,0,0,0,24.0,6.390839257,75.99496428,58359,2.0,21.6,7,1,6,0,0,0,0,0,485.67160105493673,3.327766894967494,0.14,69.951678425,1.2,0,40.84282640881231,5775.234595918477,0,0
1,2,1,1,0,20.0,4.335330365,65.7013469,21265,6.0,21.0,24,4,2,0,1,1,1,0,284.8370442369686,4.734709316292385,0.48,54.527325275,0.4,8,18.79508937369103,4316.66698447414,1,3
1,6,0,4,0,16.0,4.700623052,59.30301334,15097,6.0,22.2,0,1,2,1,1,1,1,0,278.7611115590675,4.6243997413525735,0.0,53.154621930000005,1.4,8,22.095857076993795,3516.8473912042177,1,2
1,3,1,3,1,26.0,6.982753194,65.51181709,24225,6.0,17.1,23,2,4,0,1,0,1,0,457.45285002994126,2.4143153843742424,0.46,67.669674515,1.8,5,48.7588421683172,4291.798178433615,1,1
0,6,0,4,0,24.0,6.677911529,57.40472388,29648,5.0,14.4,16,0,9,0,1,0,1,0,383.3436674173136,2.124548238552259,0.32,62.091919585,1.8,5,44.59450238915112,3295.302323739042,2,0
0,6,1,4,0,19.0,6.537049119,84.92707295,15266,4.0,6.5,38,0,9,0,0,0,1,1,555.1724474070462,0.9793508957757046,0.76,75.14878207,1.8,3,42.733011184218675,7212.607719854621,1,3
2,6,0,0,0,17.0,4.704428554,75.09409398,66227,4.0,15.2,2,4,9,1,0,1,1,0,353.27479995627147,3.163747744223402,0.04,61.06918976,2.8,5,22.131648019690527,5639.1229506770715,0,2
1,6,0,4,0,21.0,5.582933403,75.09409398,32594,3.0,19.4,3,0,7,1,0,0,0,0,419.2453256489632,3.413729956743609,0.06,65.461714005,2.4,0,31.169145382333163,5639.1229506770715,2,3
1,3,0,4,1,21.0,6.960243589,81.49411218,63003,6.0,24.3,23,3,0,0,0,0,1,0,567.2188718420919,3.441807593984418,0.46,75.54827403499999,1.0,2,48.4449908182156,6641.290320006425,0,3
2,6,1,1,0,23.0,5.952613082,88.13052384,87763,3.0,14.6,6,3,4,0,0,0,0,0,524.6069091334969,2.4121812847114352,0.12,73.82832733,0.8,0,35.43360250399754,7766.989232312808,3,0
0,1,1,4,0,23.0,5.509995241,80.15846798,52895,5.0,20.7,57,1,0,0,0,0,1,0,441.6727770956509,3.6898427023104134,1.14,67.629210195,0.0,2,30.36004755584265,6425.379988900685,0,0
1,3,0,4,0,18.0,5.500271303,78.55011105,27113,6.0,19.8,27,2,3,0,0,0,1,0,432.0469216557782,3.535542999388864,0.54,66.77641204,0.6,2,30.252984406605318,6170.119945967332,2,2
0,0,1,0,1,17.0,4.586764257,73.01074774,37099,5.0,13.5,42,0,3,0,0,1,1,0,334.8830881106755,2.8804521114619406,0.84,59.43919515499999,1.6,5,21.038406349292757,5330.569285553915,2,2
3,0,0,0,0,24.0,6.731259638,80.64843588,56022,4.0,7.9,9,4,3,0,0,0,1,1,542.865561306875,1.1564485056394223,0.18,73.98051613,0.6,3,45.309856314167895,6504.170209890471,0,0
1,0,1,3,0,22.0,4.660754381,81.71340043,81930,6.0,8.7,34,2,6,0,0,1,1,1,380.84608904052976,1.8274414732928435,0.68,64.16047212,1.2,6,21.722631400010695,6677.079809833523,3,0
2,3,0,0,0,18.0,4.721404046,87.39132763,12981,2.0,14.6,7,2,1,0,0,1,0,0,412.6097678575936,3.028163551675918,0.14,67.302684045,0.2,3,22.29165616558517,7637.244144934002,1,2
1,7,1,4,0,21.0,4.250031896,68.59903289,55649,4.0,8.5,47,4,5,0,1,1,1,1,291.5480778172531,1.9540086609056901,0.94,55.549675925,1.0,9,18.06277111701736,4705.827313443302,0,3
1,7,1,1,0,26.0,5.500271303,66.24364456,29489,4.0,12.0,38,0,5,0,1,0,1,0,364.3580171795001,2.142753332962948,0.76,60.623178795,1.0,5,30.252984406605318,4388.220444591619,2,1
3,7,0,0,1,26.0,4.916014103,90.45684705,32983,4.0,24.9,47,4,2,1,0,1,1,0,444.6871358107139,4.964100875455612,0.94,69.80849404,2.4,5,24.167194660894896,8182.441178227093,2,1
2,7,1,1,0,19.0,6.523125005,45.26230488,65884,4.0,18.0,17,2,3,1,1,0,1,0,295.25167274666154,2.71775030463886,0.34,55.246777465,1.6,5,42.55115983085625,2048.676243050072,0,3
3,7,0,4,0,19.0,5.315604934,77.78585646,33356,4.0,19.9,0,2,6,0,0,0,1,0,413.47888239419177,3.674566413636405,0.0,65.4709529,1.2,2,28.255655814365138,6050.639465215724,2,3
3,7,0,1,0,19.0,6.275329538,78.47622543,40505,5.0,17.1,32,1,4,0,0,0,1,0,492.46417547162577,2.682214291524204,0.64,70.614760405,0.8,2,39.3797608104953,6158.517957740179,2,3
0,3,1,4,1,24.0,4.772035935,63.49007283,37161,5.0,12.1,45,2,3,1,1,1,1,0,302.97690906052713,2.4835613204482656,0.9,55.60521609,2.6,8,22.772326964931324,4030.9893479587045,2,0
0,7,0,3,0,25.0,6.925640788,84.81167743,80021,5.0,8.7,6,1,0,1,0,0,1,1,587.375212507907,1.2383212097692007,0.12,77.03404265500001,1.0,3,47.96450032440926,7193.020628490372,3,0
1,2,0,0,0,22.0,5.832097541,60.87077168,43952,3.0,9.9,33,1,2,1,1,0,0,1,355.0042778337004,1.6688869209542891,0.66,59.595873545,1.4,4,34.01336172773825,3705.25084491869,2,0
3,7,0,2,0,21.0,6.251251578,55.52120879,73308,5.0,17.9,37,3,8,0,1,0,1,0,347.07704406095496,2.818342145665199,0.74,59.016862285,1.6,5,39.07814629144749,3082.6046255027736,0,3
1,1,0,3,0,25.0,4.397576487,100.0,35457,4.0,13.6,20,2,6,0,0,1,1,0,439.7576487,3.0238507425743752,0.4,71.987882435,1.2,5,19.33867895901526,10000.0,2,0
0,7,1,1,0,19.0,6.526786985,68.84560888,28805,4.0,6.7,48,3,9,0,1,0,1,1,449.34062401238447,1.0110480411043423,0.96,67.056739365,1.8,6,42.59894834756539,4739.717862057935,2,3
1,6,0,0,0,25.0,5.128902045,95.14405403,48409,3.0,8.3,1,3,7,0,0,0,0,1,487.98453328405753,1.5873313228226675,0.02,73.21653724000001,1.4,1,26.305636187205184,9052.39101726356,2,0
1,2,0,3,0,21.0,5.124667585,92.37245296,69509,3.0,7.6,51,1,0,0,0,0,0,1,473.3781154310493,1.4546379987541351,1.02,71.809564405,0.0,1,26.262217856749732,8532.670065847413,0,3
1,2,0,4,0,19.0,6.985223964,66.85187776,29673,6.0,15.4,35,0,4,0,1,0,1,0,466.97533856755064,2.173537502589523,0.7,68.3520587,0.8,5,48.793353827239876,4469.173560037982,2,3
3,0,0,4,0,26.0,5.073387867,78.33981171,41814,2.0,20.6,44,2,7,0,0,0,0,0,397.4482502325786,3.9819167883010005,0.88,64.53684519000001,1.4,0,25.739264449022812,6137.126098758255,2,1
0,7,0,1,1,19.0,5.500271303,74.27553916,45026,5.0,9.9,45,3,0,0,0,0,1,1,408.5356165566007,1.767771499694432,0.9,64.639126095,1.0,3,30.252984406605318,5516.855717508693,2,3
2,7,0,4,1,25.0,5.474496689,75.72427145,35526,5.0,21.4,32,2,3,0,0,0,1,0,414.5522733299623,3.838911599360715,0.64,65.23461917,1.6,2,29.970113997871966,5734.165286633285,2,0
1,7,0,3,0,21.0,5.865521249,75.09409398,74683,3.0,24.7,43,0,0,0,0,0,0,0,440.466003914093,4.140459646194447,0.86,66.874653235,0.0,0,34.40433952247052,5639.1229506770715,0,3
3,7,1,4,1,17.0,5.5229031,54.174323,70616,3.0,13.9,8,4,4,0,1,0,0,0,299.1995364371013,2.472032640932404,0.16,54.701677000000004,1.8,3,30.502458651989606,2934.857272508329,0,2
1,1,1,4,0,20.0,6.853157047,97.49464433,31795,3.0,6.3,22,1,5,0,0,0,0,1,668.1461088348981,0.9060632396787571,0.44,83.0131074,1.0,1,46.96576151084576,9505.2056730332,2,3
1,4,0,4,1,18.0,4.903891345,61.98512057,62372,5.0,7.0,56,3,2,0,1,1,1,1,303.9682962820045,1.3989112707242448,1.12,55.512017009999994,1.4,9,24.04815032356591,3842.155172077437,0,2
3,1,0,3,0,24.0,4.935491451,75.09409398,48011,2.0,14.9,38,4,1,0,0,1,0,0,370.62625885888053,2.9589961863684637,0.76,62.224504245,0.2,3,24.359075862894084,5639.1229506770715,2,0
1,1,0,1,0,21.0,4.849113528,80.23248538,10043,3.0,5.1,23,0,9,0,0,1,0,1,389.05643024122026,1.0304875754307004,0.46,64.36181033,1.8,4,23.51390200743261,6437.251710251914,1,3
1,2,0,4,0,21.0,5.535252246,70.15772025,65765,4.0,15.8,30,2,4,0,0,0,1,0,388.3406785880521,2.803778661587885,0.6,62.755121355,0.8,2,30.639017426848042,4922.10571067726,0,3
0,5,0,4,1,19.0,6.287953873,71.83785536,49705,2.0,5.8,21,2,2,0,0,0,0,1,451.7131208389259,0.907958967035578,0.42,67.358697045,1.4,1,39.538363908975704,5160.677462724281,2,3
0,1,0,0,0,18.0,6.913920476,68.09949752,42329,4.0,15.1,24,2,1,0,1,0,1,0,470.83451030883924,2.152861591697351,0.48,68.61935113999999,0.2,5,47.802296348452074,4637.541562476486,2,2
2,2,0,0,0,21.0,6.643959794,95.4550517,33242,5.0,21.8,32,0,1,0,0,0,1,0,634.1995256289913,3.232522237068367,0.64,80.94732482,0.2,2,44.14220174428852,9111.666895049673,2,3
3,0,0,4,1,20.0,6.730297592,75.20312383,50044,5.0,15.1,48,1,0,0,0,0,1,0,506.1394032239268,2.2107382286953214,0.96,71.253049875,1.0,2,45.296905676881,5655.509833790313,0,3
0,7,0,4,0,21.0,4.915175342,86.23072549,73396,2.0,15.4,51,1,5,1,0,1,0,0,423.8391356512189,3.0706802753298432,1.02,67.691239455,2.0,3,24.15894864260482,7435.738018531735,0,3
2,2,1,4,0,18.0,5.71333908,67.69640756,37543,2.0,6.7,22,2,3,0,1,0,0,1,386.7725308881554,1.1525217964750132,0.44,62.41489918,0.6,4,32.64224344305524,4582.803596529625,2,2
3,1,1,1,1,23.0,5.034232152,72.56523135,54051,5.0,23.3,31,4,7,0,0,0,1,0,365.3102207794884,4.5381664307726455,0.62,61.45377643500001,2.4,2,25.343493360230553,5265.712800879023,0,0
3,1,0,0,0,20.0,5.776314227,85.37402443,49976,4.0,13.0,43,3,1,0,0,0,1,0,493.1471919312546,2.2122710763608726,0.86,71.56858335000001,0.2,2,33.36580604904261,7288.724047374238,2,3
2,2,1,0,1,22.0,4.868948029,73.01928138,55644,2.0,8.8,44,0,9,0,0,1,0,1,355.5270861541474,1.770998599430109,0.88,60.854380835,2.8,4,23.706654909102987,5331.815453251614,0,0
0,0,1,2,0,26.0,5.92018577,94.68248668,37320,4.0,22.4,11,0,2,0,0,0,1,0,560.5379103111505,3.72081541264465,0.22,76.94217219,0.4,2,35.04859955131049,8964.773283908376,2,1
3,5,0,4,0,25.0,5.279146891,63.61906568,74581,4.0,19.4,31,1,0,1,1,0,1,0,335.85439279289676,3.606519842850672,0.62,58.205267295,1.0,5,27.869391896754966,4047.385517996154,0,0
2,4,0,4,0,24.0,4.744531342,60.27514418,52296,5.0,18.7,27,3,7,0,1,1,1,0,285.9773107055789,3.860022503700008,0.54,53.8602288,1.4,8,22.510577655220324,3633.0930059197876,0,0
3,7,1,2,1,23.0,5.334475455,64.24481214,32094,6.0,6.3,37,2,2,0,1,0,1,1,342.71237347191595,1.1592655173745743,0.74,58.794783345,1.4,6,28.456628379997454,4127.395886903891,2,0
3,6,0,4,0,22.0,4.203877628,96.08204567,67171,4.0,24.2,34,4,9,0,0,1,1,0,403.91716224458725,5.622836449289492,0.68,69.060410975,1.8,5,17.672587111198904,9231.759500131966,0,0
3,7,0,4,0,26.0,6.074431458,74.44296043,31930,2.0,12.7,48,0,6,1,0,0,0,0,452.1986606626412,2.056869541169664,0.96,67.593637505,2.2,0,36.89871753794001,5541.754357582546,2,1
3,3,0,4,0,18.0,4.118177991,77.37774197,80570,3.0,15.1,48,1,4,0,0,1,0,0,318.65531397413093,3.5797446272342475,0.96,59.27976094,0.8,3,16.95938996555679,5987.3149523759,3,2
0,2,0,4,0,16.0,6.706783304,72.27678926,37060,5.0,7.4,12,1,7,0,0,0,1,1,484.7447634756945,1.0871508125800622,0.24,69.67231115,1.4,3,44.98094228681315,5223.934265734451,2,2
2,7,0,4,0,21.0,5.087267027,91.56820968,59274,4.0,17.2,54,4,0,1,0,0,1,0,465.8319338264862,3.315811565217886,1.08,71.220439975,1.0,2,25.88028580400142,8384.737024000446,0,3
3,6,0,0,1,17.0,5.534980119,71.62041055,36284,6.0,20.9,51,0,3,0,0,0,1,0,396.41754850886787,3.7089749313452725,1.02,63.48510587,1.6,2,30.636004917725256,5129.483207350551,2,2
0,1,1,4,0,22.0,5.314623378,71.24411474,41898,2.0,9.3,33,4,4,0,0,0,0,1,378.63563774211843,1.7175709833829924,0.66,62.19517426,0.8,1,28.245221649984135,5075.723885086285,2,0
0,6,0,4,1,20.0,4.457290899,85.96064729,37812,6.0,21.2,32,1,9,0,0,1,1,0,383.15161083786603,4.651886497886691,0.64,65.26677814,2.8,5,19.86744215830823,7389.232882515784,2,3
2,0,1,0,0,16.0,6.825243025,68.90318533,20117,3.0,12.3,53,1,7,0,1,0,0,0,470.2809850738648,1.7761109546043696,1.06,68.57780779000001,1.4,3,46.58394235031115,4747.648948620327,1,2
0,7,1,2,0,24.0,6.097243392,86.50298734,80353,5.0,22.7,39,1,7,0,0,0,1,0,527.4297679470747,3.6629189083170997,0.78,73.73771063000001,1.4,2,37.17637698128767,7482.766818744201,3,0
0,5,0,1,0,22.0,4.247314581,100.0,58613,5.0,21.8,47,1,8,0,0,1,1,0,424.73145810000005,5.014589948304456,0.94,71.236572905,1.6,5,18.03968114997521,10000.0,0,0
3,6,0,4,1,21.0,5.376263386,72.39002071,55452,3.0,14.8,38,2,0,0,0,0,0,0,389.1878178549547,2.702572713693067,0.76,63.076327285,1.0,0,28.90420799564418,5240.315098394229,0,3
3,7,0,4,0,23.0,4.556744917,100.0,46916,5.0,24.4,19,1,2,0,0,1,1,0,455.6744917,5.239711522725865,0.38,72.783724585,0.4,5,20.763924238605334,10000.0,2,0
0,3,1,4,0,19.0,6.308878087,55.51204866,64750,4.0,8.1,42,0,9,1,1,0,1,1,350.2187473555517,1.263871755718108,0.84,59.300414765,2.8,6,39.80194271662878,3081.5875464302076,0,3
1,7,0,4,1,21.0,4.307053967,67.00695155,34925,3.0,13.5,30,2,9,0,1,1,0,0,288.6025564900043,3.063270861007816,0.6,55.03874561,2.8,6,18.550713874650437,4489.931556024047,2,3
1,2,0,1,1,24.0,4.620640958,80.77138014,46145,4.0,16.1,2,0,9,1,0,1,1,0,373.2155473090718,3.4105538089516365,0.04,63.48889486,3.8,5,21.35032286274716,6524.015849720387,2,0
0,6,0,3,1,19.0,4.695441352,62.34387402,40448,2.0,13.4,21,4,6,0,1,1,0,0,292.73200411738645,2.7943204840595874,0.42,54.649143769999995,2.2,6,22.047169490071585,3886.7586278216313,2,3
1,1,0,2,0,25.0,5.114097286,78.16542495,42663,4.0,23.5,10,2,3,0,0,0,1,0,399.7455875958317,4.507012184659112,0.2,64.653198905,0.6,2,26.153991050672563,6109.833657614083,2,0
2,5,0,4,1,19.0,4.639419285,78.8012948,80212,5.0,22.2,43,1,1,0,0,1,1,0,365.59224677809016,4.684118172507289,0.86,62.597743824999995,1.2,5,21.524211302029908,6209.644062156506,3,3
1,7,0,2,1,19.0,5.581523909,56.78748219,65031,3.0,9.8,29,3,4,0,1,0,0,1,316.9606895753967,1.7248893354960624,0.58,56.30136064,1.8,4,31.153409146738646,3224.818133479567,0,3
1,3,0,4,0,18.0,6.075542825,61.06461768,43545,6.0,13.3,5,2,4,0,1,0,1,0,371.00069980709213,2.15365683258783,0.1,60.910022964999996,0.8,5,36.91222061840899,3728.8875324045684,2,2
3,2,0,3,0,24.0,4.605929744,79.78632767,23901,5.0,11.5,34,3,0,0,0,1,1,0,367.4902197797832,2.4437253902190856,0.68,62.92281255500001,0.0,5,21.214588806663905,6365.858083064609,1,0
0,3,1,4,0,19.0,4.443175782,71.32684872,38104,4.0,16.6,25,4,8,0,0,1,1,0,316.9177268390817,3.6538317680264485,0.5,57.87930327,1.6,5,19.74181102975131,5087.519348325765,2,3
0,2,0,1,1,16.0,6.78907526,58.30551498,47627,6.0,21.6,9,4,0,0,1,0,1,0,395.84052927227737,3.135399046286512,0.18,63.09813379,1.0,5,46.091542885944065,3399.533077083004,2,2
1,1,0,4,0,22.0,4.665751883,53.33655745,25902,6.0,20.2,36,0,6,1,1,1,1,0,248.8551433550752,4.238575674083199,0.72,49.99703814,2.2,8,21.76924063371805,2844.7883606171504,2,0
